month,segment_type,segment_value,predicted_revenue,lower_bound,upper_bound,actual_revenue
2017-01-01,total,All,381898.4455579523,27215.539157907988,694258.5902430698,176491.49
2017-02-01,total,All,446855.317059873,144348.48661187183,759967.7665355639,325782.66
2017-03-01,total,All,505526.0396927176,193931.2455433826,809124.611662123,505735.83
2017-04-01,total,All,570482.9111760479,266703.7739697116,891773.4978234239,456108.32
2017-05-01,total,All,633344.3997217775,323756.7566452779,967961.328923703,701313.6
2017-06-01,total,All,698301.2712184574,401911.07785308064,1022429.1310021405,585400.98
2017-07-01,total,All,761162.7597505815,447501.6225224922,1074837.5201604273,716069.98
2017-08-01,total,All,826119.6312406327,524167.83703523566,1139975.0144069172,842689.94
2017-09-01,total,All,891076.5027104276,579298.0394016578,1194690.7544141458,996279.59
2017-10-01,total,All,953937.9912338179,656081.953145558,1247929.4209886952,998609.62
2017-11-01,total,All,1018894.2656225075,686705.986121214,1303190.4196951764,1548682.69
2017-12-01,total,All,1081755.1749218947,783821.0664279583,1401352.5211580442,1020067.26
2018-01-01,total,All,1146711.4478645131,855109.1577504313,1464198.4408533724,1374064.02
2018-02-01,total,All,1211667.7207942999,913407.1690834938,1526362.3032493766,1279970.45
2018-03-01,total,All,1270337.9027994706,957838.8216789793,1581667.5684393963,1435458.33
2018-04-01,total,All,1335294.1757234216,1020476.7329150448,1633330.0926908606,1466607.15
2018-05-01,total,All,1398155.0849987974,1096981.9486979428,1717158.0714777291,1480667.59
2018-06-01,total,All,1463111.357916686,1140852.4202885616,1786566.4055712128,1285926.11
2018-07-01,total,All,1525972.2671920622,1219212.6639746232,1830863.4084629423,1307228.18
2018-08-01,total,All,1590928.540109951,1277123.7418260612,1900399.360107157,1211240.09
2018-09-01,total,All,1655884.8130278394,1352410.4273389804,1983529.649019107,
2018-10-01,total,All,1718745.7223032156,1392036.2450292513,2017588.3190777614,
2018-11-01,total,All,1783701.9952211042,1497434.1549389292,2098140.938387161,
2018-12-01,total,All,1846562.9044964805,1534778.6884914334,2111586.617119405,
2019-01-01,total,All,1911519.1774143693,1573385.58747329,2232259.5173151223,
2019-02-01,total,All,1976475.4503322577,1656717.872985331,2273297.136254437,
2017-01-01,category,bed_bath_table,34889.4519677333,0.0,73789.6817272207,5875.24
2017-02-01,category,bed_bath_table,40225.33344493332,1823.9830124183286,78989.67968877741,25022.1
2017-03-01,category,bed_bath_table,45044.83929477286,6698.222621013874,84794.16738668228,40874.27
2017-04-01,category,bed_bath_table,50380.720771750246,11608.73476739289,88979.90064082926,36487.57
2017-05-01,category,bed_bath_table,55544.47704031101,14934.961718979748,92787.90959707812,45529.3
2017-06-01,category,bed_bath_table,60880.35851723725,20164.938947298644,100424.57825503098,48639.54
2017-07-01,category,bed_bath_table,66044.1147855551,29145.341197005073,107238.25150530669,99758.18000000001
2017-08-01,category,bed_bath_table,71379.99558346323,32315.31406744389,114920.54733853941,84258.79
2017-09-01,category,bed_bath_table,76715.87638139502,39629.27063458528,116203.30679407483,83067.01
2017-10-01,category,bed_bath_table,81879.63199161235,45307.55180661497,120134.68178840497,87338.44
2017-11-01,category,bed_bath_table,87215.51278841979,43547.20048307677,123825.94462936233,150079.31
2017-12-01,category,bed_bath_table,92379.26839791602,52407.036227517354,130324.04237435499,79628.02
2018-01-01,category,bed_bath_table,97715.14919390723,58192.368011501836,135889.49432069427,137231.48
2018-02-01,category,bed_bath_table,103051.02998933538,65283.75837561262,142247.74989167327,92730.35
2018-03-01,category,bed_bath_table,107870.53522333379,68857.13466596777,147305.6001787856,116769.84
2018-04-01,category,bed_bath_table,113206.41601824402,74839.83379753919,150337.85262545786,123393.56
2018-05-01,category,bed_bath_table,118370.17162673306,81029.45868209506,157132.97093814815,120158.68
2018-06-01,category,bed_bath_table,123706.05242217174,84658.98907483417,160472.42871313958,116472.36
2018-07-01,category,bed_bath_table,128869.80803066077,92797.32871737437,167657.1045356582,97136.12
2018-08-01,category,bed_bath_table,134205.68882609942,98340.2529355933,178911.50072064053,99972.41
2018-09-01,category,bed_bath_table,139541.56962153807,100831.97208432383,176664.88112895918,
2018-10-01,category,bed_bath_table,144705.3252300271,107247.56363717047,183473.8268078849,
